2019-09-10 10:35:33.549 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.cloudserver.CloudServerApplicationTests], using SpringBootContextLoader
2019-09-10 10:35:33.573 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.cloudserver.CloudServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-09-10 10:35:33.576 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.cloudserver.CloudServerApplicationTests]: CloudServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-09-10 10:35:33.791 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.cloudserver.CloudServerApplication for test class com.example.cloudserver.CloudServerApplicationTests
2019-09-10 10:35:33.978 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-09-10 10:35:33.998 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3569fc08, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@20b12f8a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e84a8e1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e554a3b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@54a67a45, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d42c224, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@56aaaecd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@522a32b1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@35390ee3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e01a982]
2019-09-10 10:35:35.896 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$63a08366] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-10 10:35:36.590 [main] INFO  com.example.cloudserver.CloudServerApplicationTests - No active profile set, falling back to default profiles: default
2019-09-10 10:35:38.441 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=2dd1ac89-9895-3530-822d-20367fc5fd3b
2019-09-10 10:35:38.834 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$63a08366] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-10 10:35:40.346 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
