2019-09-02 15:11:06.596 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.cloudserver.CloudServerApplicationTests], using SpringBootContextLoader
2019-09-02 15:11:06.608 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.cloudserver.CloudServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-09-02 15:11:06.609 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.cloudserver.CloudServerApplicationTests]: CloudServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-09-02 15:11:06.942 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.cloudserver.CloudServerApplication for test class com.example.cloudserver.CloudServerApplicationTests
2019-09-02 15:11:07.630 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-09-02 15:11:07.648 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6babf3bf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3059cbc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7ea9e1e2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@24fcf36f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10feca44, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3fb1549b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@ea6147e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d02f94e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2b48a640, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1e683a3e]
2019-09-02 15:11:09.484 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$dbd8cc52] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-02 15:11:09.960 [main] INFO  com.example.cloudserver.CloudServerApplicationTests - No active profile set, falling back to default profiles: default
2019-09-02 15:11:11.910 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=d4338f67-4f79-3ce7-91d7-26616109e106
2019-09-02 15:11:12.161 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$dbd8cc52] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-02 15:11:13.473 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-09-02 15:11:13.779 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-09-02 15:11:13.789 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-09-02 15:11:14.143 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-02 15:11:16.103 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-09-02 15:11:16.157 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-09-02 15:11:16.219 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-09-02 15:11:16.488 [main] INFO  com.example.cloudserver.CloudServerApplicationTests - Started CloudServerApplicationTests in 8.759 seconds (JVM running for 11.128)
2019-09-02 15:11:16.855 [Thread-6] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-09-02 15:11:16.859 [Thread-6] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application CLOUD-SERVER with eureka with status DOWN
2019-09-02 15:11:16.865 [Thread-6] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
